station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
STL,2023-12-01 0:32,48,44,85.95,160,10,0.01,29.89,null,4,null,OVC,null,null,null,700,null,null,null,#NAME?,null,null,null,null,null,null,43.03,KSTL 010032Z 16010KT 4SM -RA BR OVC007 09/07 A2989 RMK AO2 DZE14RAB14 P0001 T00890067 $,null
MCI,2023-12-01 0:48,44.6,44.6,100,50,9,T,29.77,null,1,null,OVC,null,null,null,1500,null,null,null,#NAME?,null,null,null,null,null,null,39.18,KMCI 010048Z 05009KT 1SM R19R/P6000FT -DZ BR OVC015 07/07 A2977 RMK AO2 SFC VIS 3 P0000,null
STL,2023-12-01 0:51,48,44,85.95,190,10,0.03,29.89,1012.6,4,17,BKN,OVC,null,null,700,2500,null,null,#NAME?,null,null,null,null,null,null,43.03,KSTL 010051Z 19010G17KT 4SM -RA BR BKN007 OVC025 09/07 A2989 RMK AO2 DZE14RAB14 SLP126 P0003 T00890067 $,null
MCI,2023-12-01 0:53,45,45,100,50,9,T,29.77,1008.2,1,null,OVC,null,null,null,1500,null,null,null,#NAME?,null,null,null,null,null,null,39.68,KMCI 010053Z 05009KT 1SM R19R/P6000FT -DZ BR OVC015 07/07 A2977 RMK AO2 SFC VIS 3 SLP082 P0000 T00720072,null
STL,2023-12-01 1:04,48,44,85.95,180,9,T,29.89,null,3,null,BKN,BKN,OVC,null,800,2100,2700,null,#NAME?,null,null,null,null,null,null,43.41,KSTL 010104Z 18009KT 3SM -RA BR BKN008 BKN021 OVC027 09/07 A2989 RMK AO2 P0000 T00890067 $,null
MCI,2023-12-01 1:13,46,45,96.28,50,8,T,29.77,null,1,null,FEW,OVC,null,null,400,1500,null,null,#NAME?,null,null,null,null,null,null,41.36,KMCI 010113Z 05008KT 1SM R19R/P6000FT -DZ BR FEW004 OVC015 08/07 A2977 RMK AO2 SFC VIS 3 P0000 T00780072,null
MCI,2023-12-01 1:17,45,45,100,50,8,T,29.77,null,1,null,FEW,OVC,null,null,400,1300,null,null,#NAME?,null,null,null,null,null,null,40.13,KMCI 010117Z 05008KT 1SM R19R/P6000FT -DZ BR FEW004 OVC013 07/07 A2977 RMK AO2 SFC VIS 3 P0000 T00720072,null
STL,2023-12-01 1:25,47,43,85.89,170,8,0.04,29.88,null,4,17,SCT,BKN,OVC,null,700,2500,3500,null,RA BR,null,null,null,null,null,null,42.59,KSTL 010125Z 17008G17KT 4SM RA BR SCT007 BKN025 OVC035 08/06 A2988 RMK AO2 P0004 T00830061 $,null
MCI,2023-12-01 1:32,46,45,96.28,30,10,T,29.76,null,2,null,SCT,OVC,null,null,400,1300,null,null,#NAME?,null,null,null,null,null,null,40.52,KMCI 010132Z 03010KT 2SM -DZ BR SCT004 OVC013 08/07 A2976 RMK AO2 SFC VIS 3 P0000 T00780072,null
STL,2023-12-01 1:35,47,43,85.89,160,10,0.06,29.87,null,3,null,FEW,SCT,OVC,null,700,3500,4600,null,RA BR,null,null,null,null,null,null,41.78,KSTL 010135Z 16010KT 3SM RA BR FEW007 SCT035 OVC046 08/06 A2987 RMK AO2 P0006 T00830061 $,null
STL,2023-12-01 1:51,47,43,85.89,130,10,0.11,29.86,1011.4,5,null,FEW,BKN,OVC,null,600,5000,7500,null,RA BR,null,null,null,null,null,null,41.78,KSTL 010151Z 13010KT 5SM RA BR FEW006 BKN050 OVC075 08/06 A2986 RMK AO2 SLP114 P0011 T00830061 $,null
MCI,2023-12-01 1:53,45,45,100,40,10,T,29.77,1008.2,2,null,SCT,OVC,null,null,600,1300,null,null,#NAME?,null,null,null,null,null,null,39.27,KMCI 010153Z 04010KT 2SM -DZ BR SCT006 OVC013 07/07 A2977 RMK AO2 SFC VIS 4 SLP082 P0000 T00720072,null
MCI,2023-12-01 2:01,45,45,100,40,10,T,29.77,null,6,null,FEW,OVC,null,null,600,1300,null,null,BR,null,null,null,null,null,null,39.27,KMCI 010201Z 04010KT 6SM BR FEW006 OVC013 07/07 A2977 RMK AO2 DZE0156 P0000 T00720072,null
STL,2023-12-01 2:51,47,42,82.65,160,6,0.02,29.85,1011.1,10,17,SCT,SCT,OVC,null,900,2500,10000,null,#NAME?,null,null,null,null,null,null,43.6,KSTL 010251Z 16006G17KT 10SM -RA SCT009 SCT025 OVC100 08/06 A2985 RMK AO2 SLP111 P0002 60016 T00830056 58008 $,null
MCI,2023-12-01 2:53,45,44,96.26,40,9,T,29.75,1007.5,5,null,OVC,null,null,null,1000,null,null,null,#NAME?,null,null,null,null,null,null,39.68,KMCI 010253Z 04009KT 5SM -DZ BR OVC010 07/07 A2975 RMK AO2 DZE0156B48 SLP075 P0000 60000 T00720067 58006,null
STL,2023-12-01 2:53,47,42,82.65,150,9,T,29.85,null,10,17,BKN,BKN,OVC,null,1000,7000,9000,null,#NAME?,null,null,null,null,null,null,42.17,KSTL 010253Z 15009G17KT 10SM -RA BKN010 BKN070 OVC090 08/06 A2985 RMK AO2 P0000 T00830056 $,null
MCI,2023-12-01 3:01,45,44,96.26,30,12,T,29.74,null,6,null,OVC,null,null,null,900,null,null,null,#NAME?,null,null,null,null,null,null,38.55,KMCI 010301Z 03012KT 6SM -DZ BR OVC009 07/07 A2974 RMK AO2 P0000 T00720067,null
MCI,2023-12-01 3:15,43,42,96.23,30,13,T,29.74,null,7,null,OVC,null,null,null,1000,null,null,null,#NAME?,null,null,null,null,null,null,35.66,KMCI 010315Z 03013KT 7SM -DZ OVC010 06/06 A2974 RMK AO2 P0000 T00610056,null
STL,2023-12-01 3:51,47,42,82.65,150,11,0.02,29.84,1010.7,10,null,BKN,OVC,null,null,1100,6500,null,null,#NAME?,null,null,null,null,null,null,41.42,KSTL 010351Z 15011KT 10SM -RA BKN011 OVC065 08/06 A2984 RMK AO2 SLP107 P0002 T00830056 $,null
MCI,2023-12-01 3:53,43,40,89.06,30,14,T,29.75,1007.4,8,null,OVC,null,null,null,1300,null,null,null,#NAME?,null,null,null,null,null,null,35.34,KMCI 010353Z 03014KT 8SM -DZ OVC013 06/04 A2975 RMK AO2 DZE16B48 SLP074 P0000 T00610044,null
STL,2023-12-01 3:59,47,42,82.65,160,10,T,29.84,null,10,null,BKN,BKN,OVC,null,1200,5000,7500,null,#NAME?,null,null,null,null,null,null,41.78,KSTL 010359Z 16010KT 10SM -RA BKN012 BKN050 OVC075 08/06 A2984 RMK AO2 P0000 T00830056 $,null
MCI,2023-12-01 4:10,42,40,92.55,30,13,0.02,29.75,null,2.5,null,OVC,null,null,null,1300,null,null,null,RA BR,null,null,null,null,null,null,34.38,KMCI 010410Z 03013KT 2 1/2SM RA BR OVC013 06/04 A2975 RMK AO2 DZE01RAB01 P0002 T00560044,null
STL,2023-12-01 4:18,47,41,79.52,170,12,T,29.84,null,10,18,FEW,BKN,OVC,null,1200,3000,7500,null,#NAME?,null,null,null,null,null,null,41.09,KSTL 010418Z 17012G18KT 10SM -RA FEW012 BKN030 OVC075 08/05 A2984 RMK AO2 P0000 T00830050 $,null
STL,2023-12-01 4:35,46,41,82.58,170,9,T,29.84,null,7,null,BKN,BKN,OVC,null,1200,3000,5000,null,#NAME?,null,null,null,null,null,null,40.92,KSTL 010435Z 17009KT 7SM -RA BKN012 BKN030 OVC050 08/05 A2984 RMK AO2 P0000 T00780050 $,null
MCI,2023-12-01 4:38,41,40,96.19,20,14,0.11,29.75,null,3,null,BKN,OVC,null,null,1500,3000,null,null,RA BR,null,null,null,null,null,null,32.76,KMCI 010438Z 02014KT 3SM RA BR BKN015 OVC030 05/04 A2975 RMK AO2 DZE01RAB01 P0011 T00500044,null
STL,2023-12-01 4:51,46,41,82.58,160,10,0.01,29.84,1010.4,5,18,OVC,null,null,null,1300,null,null,null,#NAME?,null,null,null,null,null,null,40.52,KSTL 010451Z 16010G18KT 5SM -RA OVC013 08/05 A2984 RMK AO2 SLP104 P0001 T00780050 $,null
MCI,2023-12-01 4:53,40,39,96.18,20,13,0.17,29.75,1007.6,3,null,OVC,null,null,null,1500,null,null,null,RA BR,null,null,null,null,null,null,31.82,KMCI 010453Z 02013KT 3SM RA BR OVC015 04/04 A2975 RMK AO2 DZE01RAB01 SLP076 P0017 T00440039,null
MCI,2023-12-01 5:02,40,39,96.18,20,15,0.04,29.75,null,3,null,OVC,null,null,null,1400,null,null,null,RA BR,null,null,null,null,null,null,31.15,KMCI 010502Z 02015KT 3SM RA BR OVC014 04/04 A2975 RMK AO2 P0004 T00440039,null
STL,2023-12-01 5:17,46,42,85.83,160,7,0.02,29.82,null,9,null,FEW,BKN,OVC,null,700,1000,2400,null,#NAME?,null,null,null,null,null,null,41.84,KSTL 010517Z 16007KT 9SM -RA FEW007 BKN010 OVC024 08/06 A2982 RMK AO2 P0002 T00780056 $,null
MCI,2023-12-01 5:37,40,39,96.18,50,17,0.11,29.73,null,5,null,SCT,BKN,OVC,null,1500,4200,5500,null,#NAME?,null,null,null,null,null,null,30.56,KMCI 010537Z 05017KT 5SM -RA BR SCT015 BKN042 OVC055 04/04 A2973 RMK AO2 P0011 T00440039,null
STL,2023-12-01 5:51,46,41,82.58,160,7,0.03,29.81,1009.4,6,null,BKN,OVC,null,null,1000,2400,null,null,#NAME?,null,null,null,null,null,null,41.84,KSTL 010551Z 16007KT 6SM -RA BKN010 OVC024 08/05 A2981 RMK AO2 SLP094 P0003 60022 T00780050 10094 20078 401280039 58015 $,null
MCI,2023-12-01 5:53,40,38,92.49,40,19,0.14,29.71,1006.2,4,27,SCT,BKN,OVC,null,1500,3600,5500,null,RA BR,null,null,null,27,40,2023-12-01 5:48,30.02,KMCI 010553Z 04019G27KT 4SM RA BR SCT015 BKN036 OVC055 04/03 A2971 RMK AO2 PK WND 04027/0548 SLP062 P0014 60031 T00440033 10078 20044 401060044 58013,null
STL,2023-12-01 6:44,46,41,82.58,140,8,T,29.79,null,8,null,OVC,null,null,null,900,null,null,null,#NAME?,null,null,null,null,null,null,41.36,KSTL 010644Z 14008KT 8SM -RA OVC009 08/05 A2979 RMK AO2 CIG 007V012 P0000 T00780050 $,null
STL,2023-12-01 6:51,46,41,82.58,140,8,0.01,29.79,1008.7,8,null,OVC,null,null,null,900,null,null,null,#NAME?,null,null,null,null,null,null,41.36,KSTL 010651Z 14008KT 8SM -RA OVC009 08/05 A2979 RMK AO2 CIG 007V012 SLP087 P0001 T00780050 $,null
MCI,2023-12-01 6:53,39,38,96.16,40,17,0.13,29.69,1005.4,4,28,SCT,BKN,OVC,null,1100,4400,5500,null,RA BR,null,null,null,28,40,2023-12-01 6:22,29.25,KMCI 010653Z 04017G28KT 4SM RA BR SCT011 BKN044 OVC055 04/03 A2969 RMK AO2 PK WND 04028/0622 SLP054 P0013 T00390033,null
MCI,2023-12-01 7:28,39,38,96.16,50,11,0.09,29.69,null,4,25,BKN,OVC,null,null,800,4700,null,null,RA BR,null,null,null,32,40,2023-12-01 7:03,31.31,KMCI 010728Z 05011G25KT 4SM RA BR BKN008 OVC047 04/03 A2969 RMK AO2 PK WND 04032/0703 P0009 T00390033,null
STL,2023-12-01 7:51,45,41,85.77,130,12,0.04,29.75,1007.5,10,null,OVC,null,null,null,900,null,null,null,#NAME?,null,null,null,null,null,null,38.55,KSTL 010751Z 13012KT 10SM -RA OVC009 07/05 A2975 RMK AO2 CIG 007V013 SLP075 P0004 T00720050 $,null
MCI,2023-12-01 7:53,39,38,96.16,20,15,0.16,29.68,1005.3,3,null,OVC,null,null,null,700,null,null,null,RA BR,null,null,null,32,40,2023-12-01 7:03,29.85,KMCI 010753Z 02015KT 3SM RA BR OVC007 04/03 A2968 RMK AO2 PK WND 04032/0703 SLP053 P0016 T00390033,null
STL,2023-12-01 8:51,46,41,82.58,150,8,T,29.75,1007.7,5,null,OVC,null,null,null,800,null,null,null,#NAME?,null,null,null,null,null,null,41.36,KSTL 010851Z 15008KT 5SM -RA OVC008 08/05 A2975 RMK AO2 SLP077 P0000 60005 T00780050 55019 $,null
MCI,2023-12-01 8:53,37,37,100,10,11,0.06,29.71,1006.2,6,null,OVC,null,null,null,600,null,null,null,#NAME?,null,null,null,null,null,null,28.79,KMCI 010853Z 01011KT 6SM -RA BR OVC006 03/03 A2971 RMK AO2 SLP062 P0006 60035 T00280028 55002,null
STL,2023-12-01 9:01,45,41,85.77,150,8,0.01,29.75,null,4,null,OVC,null,null,null,800,null,null,null,#NAME?,null,null,null,null,null,null,40.13,KSTL 010901Z 15008KT 4SM -RA BR OVC008 07/05 A2975 RMK AO2 P0001 T00720050 $,null
STL,2023-12-01 9:35,45,41,85.77,140,8,0.05,29.73,null,3,null,OVC,null,null,null,600,null,null,null,RA BR,null,null,null,null,null,null,40.13,KSTL 010935Z 14008KT 3SM RA BR OVC006 07/05 A2973 RMK AO2 P0005 T00720050 $,null
STL,2023-12-01 9:51,45,41,85.77,150,5,0.1,29.74,1007.2,5,null,OVC,null,null,null,600,null,null,null,RA BR,null,null,null,null,null,null,41.83,KSTL 010951Z 15005KT 5SM RA BR OVC006 07/05 A2974 RMK AO2 SLP072 P0010 T00720050 $,null
MCI,2023-12-01 9:53,36,35,96.11,10,13,0.02,29.69,1005.7,8,22,OVC,null,null,null,600,null,null,null,null,null,null,null,null,null,null,26.69,KMCI 010953Z 01013G22KT 8SM OVC006 02/02 A2969 RMK AO2 RAE33UPB33E34 SLP057 P0002 T00220017,null
STL,2023-12-01 10:30,45,41,85.77,140,10,0.06,29.73,null,3,null,OVC,null,null,null,700,null,null,null,#NAME?,null,null,null,null,null,null,39.27,KSTL 011030Z 14010KT 3SM -RA BR OVC007 07/05 A2973 RMK AO2 CIG 005V010 P0006 T00720050 $,null
STL,2023-12-01 10:51,45,41,85.77,150,8,0.06,29.73,1006.8,4,null,OVC,null,null,null,600,null,null,null,#NAME?,null,null,null,null,null,null,40.13,KSTL 011051Z 15008KT 4SM -DZ BR OVC006 07/05 A2973 RMK AO2 RAE40DZB40 SLP068 P0006 T00720050 $,null
MCI,2023-12-01 10:53,36,35,96.11,10,14,0,29.71,1006.5,8,null,OVC,null,null,null,600,null,null,null,null,null,null,null,null,null,null,26.32,KMCI 011053Z 01014KT 8SM OVC006 02/02 A2971 RMK AO2 SLP065 T00220017,null
STL,2023-12-01 11:20,45,42,89.15,140,8,T,29.72,null,5,null,OVC,null,null,null,500,null,null,null,#NAME?,null,null,null,null,null,null,40.13,KSTL 011120Z 14008KT 5SM -DZ BR OVC005 07/06 A2972 RMK AO2 P0000 T00720056 $,null
STL,2023-12-01 11:51,46,42,85.83,160,8,0.01,29.73,1006.8,5,null,OVC,null,null,null,500,null,null,null,#NAME?,null,null,null,null,null,null,41.36,KSTL 011151Z 16008KT 5SM -DZ BR OVC005 08/06 A2973 RMK AO2 SLP068 P0001 60022 70050 T00780056 10078 20072 56009 $,null
MCI,2023-12-01 11:53,35,34,96.09,360,13,T,29.74,1007.4,6,null,OVC,null,null,null,600,null,null,null,#NAME?,null,null,null,null,null,null,25.41,KMCI 011153Z 36013KT 6SM -DZ BR OVC006 02/01 A2974 RMK AO2 DZB50 SLP074 P0000 60037 70070 T00170011 10044 20017 53010,null
STL,2023-12-01 12:51,46,42,85.83,160,7,T,29.73,1006.9,8,null,OVC,null,null,null,600,null,null,null,#NAME?,null,null,null,null,null,null,41.84,KSTL 011251Z 16007KT 8SM -DZ OVC006 08/06 A2973 RMK AO2 SLP069 P0000 T00780056 $,null
MCI,2023-12-01 12:53,35,34,96.09,10,15,T,29.75,1007.6,8,22,OVC,null,null,null,600,null,null,null,null,null,null,null,null,null,null,24.67,KMCI 011253Z 01015G22KT 8SM OVC006 02/01 A2975 RMK AO2 DZE16 SLP076 P0000 T00170011,null
STL,2023-12-01 13:51,47,43,85.89,170,8,T,29.74,1007.1,9,null,OVC,null,null,null,600,null,null,null,null,null,null,null,null,null,null,42.59,KSTL 011351Z 17008KT 9SM OVC006 08/06 A2974 RMK AO2 DZE22 CIG 005V010 SLP071 P0000 T00830061 $,null
MCI,2023-12-01 13:53,35,34,96.09,360,11,0,29.77,1008.3,6,null,OVC,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,26.26,KMCI 011353Z 36011KT 6SM BR OVC005 02/01 A2977 RMK AO2 SLP083 T00170011,null
STL,2023-12-01 14:51,48,44,85.95,190,7,0,29.73,1007,10,null,OVC,null,null,null,700,null,null,null,null,null,null,null,null,null,null,44.28,KSTL 011451Z 19007KT 10SM OVC007 09/07 A2973 RMK AO2 SLP070 60000 T00890067 50002 $,null
MCI,2023-12-01 14:53,35,34,96.09,360,10,0,29.78,1008.9,8,null,OVC,null,null,null,600,null,null,null,null,null,null,null,null,null,null,26.73,KMCI 011453Z 36010KT 8SM OVC006 02/01 A2978 RMK AO2 SLP089 60000 T00170011 53015,null
STL,2023-12-01 15:51,50,45,82.86,190,7,0,29.74,1007.3,10,null,BKN,null,null,null,800,null,null,null,null,null,null,null,null,null,null,50,KSTL 011551Z 19007KT 10SM BKN008 10/07 A2974 RMK AO2 SLP073 T01000072,null
MCI,2023-12-01 15:53,35,34,96.09,360,9,0,29.8,1009.7,9,null,OVC,null,null,null,600,null,null,null,null,null,null,null,null,null,null,27.24,KMCI 011553Z 36009KT 9SM OVC006 02/01 A2980 RMK AO2 SLP097 T00170011,null
STL,2023-12-01 16:33,51,46,82.93,190,8,0,29.75,null,10,16,BKN,OVC,null,null,1000,2200,null,null,null,null,null,null,null,null,null,51,KSTL 011633Z 19008G16KT 10SM BKN010 OVC022 11/08 A2975 RMK AO2 T01060078,null
STL,2023-12-01 16:51,51,46,82.93,190,9,0,29.76,1007.8,10,null,BKN,OVC,null,null,1000,2200,null,null,null,null,null,null,null,null,null,51,KSTL 011651Z 19009KT 10SM BKN010 OVC022 11/08 A2976 RMK AO2 SLP078 T01060078,null
MCI,2023-12-01 16:53,36,34,92.35,330,10,0,29.84,1010.8,10,null,OVC,null,null,null,800,null,null,null,null,null,null,null,null,null,null,27.98,KMCI 011653Z 33010KT 10SM OVC008 02/01 A2984 RMK AO2 SLP108 T00220011,null
STL,2023-12-01 17:28,53,47,80,200,9,0,29.74,null,10,null,BKN,OVC,null,null,1300,3000,null,null,null,null,null,null,null,null,null,53,KSTL 011728Z 20009KT 10SM BKN013 OVC030 12/08 A2974 RMK AO2 T01170083,null
STL,2023-12-01 17:51,54,47,77.12,210,10,0,29.74,1007.1,10,null,BKN,OVC,null,null,1300,4000,null,null,null,null,null,null,null,null,null,54,KSTL 011751Z 21010KT 10SM BKN013 OVC040 12/08 A2974 RMK AO2 SLP071 60000 T01220083 10122 20078 50003,null
MCI,2023-12-01 17:53,36,34,92.35,300,6,0,29.84,1010.7,9,null,OVC,null,null,null,800,null,null,null,null,null,null,null,null,null,null,30.35,KMCI 011753Z 30006KT 9SM OVC008 02/01 A2984 RMK AO2 SLP107 60000 T00220011 10028 20011 50017,null
STL,2023-12-01 18:12,56,47,71.7,220,8,0,29.73,null,10,null,BKN,OVC,null,null,1600,4000,null,null,null,null,null,null,null,null,null,56,KSTL 011812Z 22008KT 10SM BKN016 OVC040 13/08 A2973 RMK AO2 T01330083,null
MCI,2023-12-01 18:30,37,33,85.29,320,8,0,29.83,null,10,null,OVC,null,null,null,1100,null,null,null,null,null,null,null,null,null,null,30.27,KMCI 011830Z 32008KT 10SM OVC011 03/01 A2983 RMK AO2 T00280006,null
STL,2023-12-01 18:51,57,48,71.81,220,12,0,29.73,1006.7,10,null,BKN,BKN,null,null,1800,4800,null,null,null,null,null,null,null,null,null,57,KSTL 011851Z 22012KT 10SM BKN018 BKN048 14/09 A2973 RMK AO2 SLP067 T01390089,null
MCI,2023-12-01 18:53,37,33,85.29,340,10,0,29.83,1010.5,10,null,OVC,null,null,null,1300,null,null,null,null,null,null,null,null,null,null,29.24,KMCI 011853Z 34010KT 10SM OVC013 03/01 A2983 RMK AO2 SLP105 T00280006,null
MCI,2023-12-01 19:27,36,32,85.23,350,7,T,29.83,null,10,null,BKN,OVC,null,null,1600,3100,null,null,UP,null,null,null,null,null,null,29.65,KMCI 011927Z 35007KT 10SM UP BKN016 OVC031 02/00 A2983 RMK AO2 UPB06RAB19E20 P0000 T00220000,null
MCI,2023-12-01 19:39,36,32,85.23,340,10,T,29.83,null,10,null,SCT,OVC,null,null,1600,3100,null,null,#NAME?,null,null,null,null,null,null,27.98,KMCI 011939Z 34010KT 10SM -RA SCT016 OVC031 02/00 A2983 RMK AO2 UPB06E29RAB19E20B33 P0000 T00220000,null
STL,2023-12-01 19:51,57,47,69.16,220,8,0,29.72,1006.6,10,null,BKN,OVC,null,null,2300,5000,null,null,null,null,null,null,null,null,null,57,KSTL 011951Z 22008KT 10SM BKN023 OVC050 14/08 A2972 RMK AO2 SLP066 T01390083,null
MCI,2023-12-01 19:53,36,33,88.73,330,7,T,29.83,1010.7,10,null,FEW,BKN,OVC,null,1200,1800,3100,null,#NAME?,null,null,null,null,null,null,29.65,KMCI 011953Z 33007KT 10SM -RA FEW012 BKN018 OVC031 02/01 A2983 RMK AO2 UPB06E29RAB19E20B33 SLP107 P0000 T00220006,null
STL,2023-12-01 20:16,57,47,69.16,220,10,0,29.72,null,10,null,SCT,BKN,BKN,null,2300,3900,25000,null,null,null,null,null,null,null,null,57,KSTL 012016Z 22010KT 10SM SCT023 BKN039 BKN250 14/08 A2972 RMK AO2 T01390083,null
MCI,2023-12-01 20:18,35,33,92.32,310,8,T,29.84,null,10,null,FEW,BKN,OVC,null,1200,1900,3600,null,#NAME?,null,null,null,null,null,null,27.81,KMCI 012018Z 31008KT 10SM -PL FEW012 BKN019 OVC036 02/01 A2984 RMK AO2 RAE17PLB17 P0000 T00170006,null
MCI,2023-12-01 20:36,35,33,92.32,310,7,T,29.86,null,9,null,FEW,BKN,OVC,null,1300,2900,3500,null,#NAME?,null,null,null,null,null,null,28.44,KMCI 012036Z 31007KT 9SM -SN FEW013 BKN029 OVC035 02/01 A2986 RMK AO2 RAE17PLB17E35SNB35 P0000 T00170006,null
STL,2023-12-01 20:43,56,47,71.7,250,13,T,29.74,null,10,19,FEW,BKN,OVC,null,1600,2400,3900,null,#NAME?,null,null,null,null,null,null,56,KSTL 012043Z 25013G19KT 10SM -RA FEW016 BKN024 OVC039 13/08 A2974 RMK AO2 RAB41 P0000 T01330083,null
STL,2023-12-01 20:51,54,48,80.07,250,13,T,29.74,1007.2,7,null,BKN,OVC,null,null,2000,3700,null,null,#NAME?,null,null,null,null,null,null,54,KSTL 012051Z 25013KT 7SM -RA BKN020 OVC037 12/09 A2974 RMK AO2 RAB41 SLP072 P0000 60000 T01220089 53000,null
MCI,2023-12-01 20:53,35,32,88.68,310,7,T,29.87,1012,3,null,BKN,BKN,OVC,null,1700,2300,2900,null,#NAME?,null,null,null,null,null,null,28.44,KMCI 012053Z 31007KT 3SM -SN BR BKN017 BKN023 OVC029 02/00 A2987 RMK AO2 RAE17PLB17E35SNB35 SLP120 P0000 60000 T00170000 53011,null
MCI,2023-12-01 21:16,34,32,92.29,310,7,0.01,29.86,null,2,null,SCT,OVC,null,null,1000,1700,null,null,#NAME?,null,null,null,null,null,null,27.22,KMCI 012116Z 31007KT 2SM -SN BR SCT010 OVC017 01/00 A2986 RMK AO2 SFC VIS 3 P0001 T00110000,null
STL,2023-12-01 21:25,53,48,83.06,260,14,T,29.76,null,3,19,SCT,BKN,OVC,null,900,1300,3500,null,#NAME?,null,null,null,null,null,null,53,KSTL 012125Z 26014G19KT 3SM -RA SCT009 BKN013 OVC035 12/09 A2976 RMK AO2 P0000 T01170089,null
MCI,2023-12-01 21:31,35,33,92.32,330,5,0.01,29.86,null,7,null,SCT,BKN,OVC,null,1000,1800,5500,null,#NAME?,null,null,null,null,null,null,29.96,KMCI 012131Z 33005KT 7SM -SN SCT010 BKN018 OVC055 02/01 A2986 RMK AO2 P0001 T00170006,null
STL,2023-12-01 21:39,52,48,86.17,250,12,0.01,29.76,null,5,null,BKN,OVC,null,null,1000,2300,null,null,#NAME?,null,null,null,null,null,null,52,KSTL 012139Z 25012KT 5SM -RA BR BKN010 OVC023 11/09 A2976 RMK AO2 P0001 T01110089,null
MCI,2023-12-01 21:41,35,33,92.32,330,6,0.01,29.86,null,8,null,FEW,BKN,OVC,null,1100,5500,7500,null,null,null,null,null,null,null,null,29.14,KMCI 012141Z 33006KT 8SM FEW011 BKN055 OVC075 02/01 A2986 RMK AO2 SNE41 P0001 T00170006,null
MCI,2023-12-01 21:50,35.6,33.8,93.08,330,6,0.01,29.87,null,10,null,FEW,SCT,OVC,null,900,5500,7500,null,null,null,null,null,null,null,null,29.87,KMCI 012150Z 33006KT 10SM FEW009 SCT055 OVC075 02/01 A2987 RMK AO2 SNE41 P0001,null
STL,2023-12-01 21:51,52,48,86.17,250,12,0.01,29.77,1008.2,10,null,SCT,OVC,null,null,1000,2600,null,null,#NAME?,null,null,null,null,null,null,52,KSTL 012151Z 25012KT 10SM -RA SCT010 OVC026 11/09 A2977 RMK AO2 SLP082 P0001 T01110089,null
MCI,2023-12-01 21:53,35,33,92.32,330,5,0.01,29.87,1012,10,null,FEW,SCT,OVC,null,900,5500,7000,null,null,null,null,null,null,null,null,29.96,KMCI 012153Z 33005KT 10SM FEW009 SCT055 OVC070 02/01 A2987 RMK AO2 SNE41 SLP120 P0001 T00170006,null
STL,2023-12-01 22:03,52,48,86.17,250,9,T,29.77,null,10,null,FEW,SCT,OVC,null,1000,2300,3100,null,#NAME?,null,null,null,null,null,null,52,KSTL 012203Z 25009KT 10SM -RA FEW010 SCT023 OVC031 11/09 A2977 RMK AO2 P0000 T01110089,null
STL,2023-12-01 22:25,52,48,86.17,260,10,T,29.79,null,10,null,BKN,OVC,null,null,1100,4100,null,null,null,null,null,null,null,null,null,52,KSTL 012225Z 26010KT 10SM BKN011 OVC041 11/09 A2979 RMK AO2 RAE11 P0000 T01110089,null
MCI,2023-12-01 22:35,36,32,85.23,310,4,0,29.89,null,10,null,BKN,BKN,OVC,null,2200,2700,7500,null,null,null,null,null,null,null,null,32.09,KMCI 012235Z 31004KT 10SM BKN022 BKN027 OVC075 02/00 A2989 RMK AO2 T00220000,null
STL,2023-12-01 22:49,51.8,46.4,81.74,270,12,T,29.8,null,8,null,SCT,BKN,OVC,null,1100,1700,3300,null,#NAME?,null,null,null,null,null,null,51.8,KSTL 012249Z 27012KT 8SM -DZ SCT011 BKN017 OVC033 11/08 A2980 RMK AO2 RAE11DZB44 P0000,null
STL,2023-12-01 22:51,52,47,82.99,270,11,T,29.8,1009.2,8,null,SCT,BKN,OVC,null,1100,1500,3300,null,#NAME?,null,null,null,null,null,null,52,KSTL 012251Z 27011KT 8SM -DZ SCT011 BKN015 OVC033 11/08 A2980 RMK AO2 RAE11DZB44 SLP092 P0000 T01110083,null
MCI,2023-12-01 22:53,35,31,85.17,320,5,0,29.9,1013,10,null,OVC,null,null,null,2200,null,null,null,null,null,null,null,null,null,null,29.96,KMCI 012253Z 32005KT 10SM OVC022 02/M01 A2990 RMK AO2 SLP130 T00171006,null
STL,2023-12-01 22:59,51,46,82.93,280,8,T,29.8,null,10,null,SCT,BKN,OVC,null,1100,1400,3300,null,null,null,null,null,null,null,null,51,KSTL 012259Z 28008KT 10SM SCT011 BKN014 OVC033 11/08 A2980 RMK AO2 DZE58 P0000 T01060078,null
STL,2023-12-01 23:25,51,45,79.84,270,8,T,29.82,null,10,null,BKN,OVC,null,null,1100,2600,null,null,null,null,null,null,null,null,null,51,KSTL 012325Z 27008KT 10SM BKN011 OVC026 11/07 A2982 RMK AO2 DZE2258 P0000 T01060072,null
