station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
HSV,2023-12-01 0:53,54,25,32.26,150,11,0,30.03,1016.8,10,null,FEW,OVC,null,null,10000,17000,null,null,null,null,null,null,null,null,null,54,KHSV 010053Z 15011KT 10SM FEW100 OVC170 12/M04 A3003 RMK AO2 SLP168 T01221039 $,null
HSV,2023-12-01 1:53,54,26,33.63,140,8,0,30.02,1016.5,10,null,OVC,null,null,null,11000,null,null,null,null,null,null,null,null,null,null,54,KHSV 010153Z 14008KT 10SM OVC110 12/M03 A3002 RMK AO2 SLP165 T01221033 $,null
HSV,2023-12-01 2:53,54,27,35.05,150,12,0,30.02,1016.3,10,null,BKN,OVC,null,null,13000,25000,null,null,null,null,null,null,null,null,null,54,KHSV 010253Z 15012KT 10SM BKN130 OVC250 12/M03 A3002 RMK AO2 SLP163 T01221028 56005 $,null
HSV,2023-12-01 3:53,53,28,37.88,150,11,0,30.01,1016.1,10,23,BKN,OVC,null,null,9500,13000,null,null,null,null,null,null,null,null,null,53,KHSV 010353Z 15011G23KT 10SM BKN095 OVC130 12/M02 A3001 RMK AO2 SLP161 T01171022 $,null
HSV,2023-12-01 4:53,53,29,39.47,160,9,0,30.03,1016.5,10,null,BKN,OVC,null,null,7000,9000,null,null,null,null,null,null,null,null,null,53,KHSV 010453Z 16009KT 10SM BKN070 OVC090 12/M02 A3003 RMK AO2 SLP165 T01171017 $,null
HSV,2023-12-01 5:53,53,30,41.11,150,12,0,30.02,1016.3,10,null,OVC,null,null,null,8500,null,null,null,null,null,null,null,null,null,null,53,KHSV 010553Z 15012KT 10SM OVC085 12/M01 A3002 RMK AO2 SLP163 T01171011 10128 20111 401720011 52001 $,null
HSV,2023-12-01 6:53,53,31,42.81,150,10,0,30.01,1015.8,10,18,BKN,OVC,null,null,7000,8500,null,null,null,null,null,null,null,null,null,53,KHSV 010653Z AUTO 15010G18KT 10SM BKN070 OVC085 12/M01 A3001 RMK AO2 SLP158 T01171006 $,null
HSV,2023-12-01 7:53,53,33,46.41,150,10,T,29.99,1015.4,10,null,BKN,BKN,OVC,null,3000,4100,5500,null,null,null,null,null,null,null,null,53,KHSV 010753Z AUTO 15010KT 10SM BKN030 BKN041 OVC055 12/01 A2999 RMK AO2 RAB43E52 SLP154 P0000 T01170006 $,null
HSV,2023-12-01 8:53,53,34,48.3,130,10,0,29.96,1014.2,10,null,SCT,OVC,null,null,3100,6500,null,null,null,null,null,null,null,null,null,53,KHSV 010853Z AUTO 13010KT 10SM SCT031 OVC065 12/01 A2996 RMK AO2 SLP142 60000 T01170011 58021 $,null
HSV,2023-12-01 9:25,50,41,71.07,140,7,T,29.96,null,10,null,BKN,OVC,null,null,2600,4700,null,null,#NAME?,null,null,null,null,null,null,50,KHSV 010925Z AUTO 14007KT 10SM -RA BKN026 OVC047 10/05 A2996 RMK AO2 RAB02 P0000 T01000050 $,null
HSV,2023-12-01 9:53,49,42,76.67,160,7,0.01,29.97,1014.5,6,null,OVC,null,null,null,2400,null,null,null,#NAME?,null,null,null,null,null,null,45.5,KHSV 010953Z AUTO 16007KT 6SM +RA OVC024 09/06 A2997 RMK AO2 RAB02 SLP145 P0001 T00940056 $,null
HSV,2023-12-01 10:53,48,45,89.29,120,6,0.09,29.96,1014.5,9,null,OVC,null,null,null,2500,null,null,null,#NAME?,null,null,null,null,null,null,44.8,KHSV 011053Z AUTO 12006KT 9SM -RA OVC025 09/07 A2996 RMK AO2 SLP145 P0009 T00890072 $,null
HSV,2023-12-01 11:38,49,46,89.33,150,12,0.03,29.95,null,10,null,SCT,BKN,OVC,null,2000,3400,5500,null,#NAME?,null,null,null,null,null,null,43.64,KHSV 011138Z 15012KT 10SM -RA SCT020 BKN034 OVC055 09/08 A2995 RMK AO2 P0003 T00940078 $,null
HSV,2023-12-01 11:53,49,47,92.77,110,8,0.03,29.95,1013.9,10,null,SCT,BKN,OVC,null,2200,3500,5500,null,null,null,null,null,null,null,null,45.05,KHSV 011153Z 11008KT 10SM SCT022 BKN035 OVC055 09/08 A2995 RMK AO2 RAE49 SLP139 P0003 60013 70013 T00940083 10117 20083 58004 $,null
HSV,2023-12-01 12:09,49,47,92.77,110,8,0.03,29.94,null,4,null,FEW,BKN,OVC,null,1500,2800,3400,null,#NAME?,null,null,null,null,null,null,45.05,KHSV 011209Z 11008KT 4SM -RA BR FEW015 BKN028 OVC034 09/08 A2994 RMK AO2 RAB1159 P0003 T00940083 $,null
HSV,2023-12-01 12:26,50,48,92.8,150,8,0.03,29.95,null,4,null,FEW,BKN,OVC,null,900,1300,2600,null,#NAME?,null,null,null,null,null,null,50,KHSV 011226Z 15008KT 4SM -RA BR FEW009 BKN013 OVC026 10/09 A2995 RMK AO2 RAB1159 P0003 T01000089 $,null
HSV,2023-12-01 12:34,50,48,92.8,160,11,0.04,29.95,null,7,null,BKN,OVC,null,null,1500,2400,null,null,null,null,null,null,null,null,null,50,KHSV 011234Z 16011KT 7SM BKN015 OVC024 10/09 A2995 RMK AO2 RAB1159E33 P0004 T01000089 $,null
HSV,2023-12-01 12:42,50,48,92.8,150,10,0.04,29.95,null,6,null,OVC,null,null,null,1200,null,null,null,BR,null,null,null,null,null,null,50,KHSV 011242Z 15010KT 6SM BR OVC012 10/09 A2995 RMK AO2 RAB1159E33 P0004 T01000089 $,null
HSV,2023-12-01 12:53,50,48,92.8,140,10,0.04,29.95,1014,5,null,OVC,null,null,null,1200,null,null,null,#NAME?,null,null,null,null,null,null,50,KHSV 011253Z 14010KT 5SM -RA BR OVC012 10/09 A2995 RMK AO2 RAB1159E33B49 SLP140 P0004 T01000089 $,null
HSV,2023-12-01 13:53,52,50,92.86,170,11,T,29.95,1014.1,10,null,OVC,null,null,null,1000,null,null,null,null,null,null,null,null,null,null,52,KHSV 011353Z 17011KT 10SM OVC010 11/10 A2995 RMK AO2 RAE1259 SLP141 P0000 T01110100 $,null
HSV,2023-12-01 14:10,52,51,96.37,170,9,0,29.96,null,9,null,OVC,null,null,null,800,null,null,null,null,null,null,null,null,null,null,52,KHSV 011410Z 17009KT 9SM OVC008 11/11 A2996 RMK AO2 CIG 007V012 T01110106 $,null
HSV,2023-12-01 14:39,54,52,92.92,170,9,0,29.96,null,10,null,OVC,null,null,null,700,null,null,null,null,null,null,null,null,null,null,54,KHSV 011439Z 17009KT 10SM OVC007 12/11 A2996 RMK AO2 T01220111 $,null
HSV,2023-12-01 14:53,55,53,92.95,160,10,0,29.96,1014.2,9,null,OVC,null,null,null,700,null,null,null,null,null,null,null,null,null,null,55,KHSV 011453Z 16010KT 9SM OVC007 13/12 A2996 RMK AO2 SLP142 60004 T01280117 53004 $,null
HSV,2023-12-01 15:53,57,56,96.45,180,8,0,29.97,1014.5,8,null,OVC,null,null,null,700,null,null,null,null,null,null,null,null,null,null,57,KHSV 011553Z 18008KT 8SM OVC007 14/13 A2997 RMK AO2 SLP145 T01390133 $,null
HSV,2023-12-01 16:53,59,56,89.76,160,9,0,29.95,1013.9,7,null,OVC,null,null,null,700,null,null,null,null,null,null,null,null,null,null,59,KHSV 011653Z 16009KT 7SM OVC007 15/13 A2995 RMK AO2 SLP139 T01500133 $,null
HSV,2023-12-01 17:53,60,58,93.1,150,6,0,29.92,1013.1,9,null,OVC,null,null,null,800,null,null,null,null,null,null,null,null,null,null,60,KHSV 011753Z 15006KT 9SM OVC008 16/14 A2992 RMK AO2 SLP131 60004 T01560144 10156 20094 58011 $,null
HSV,2023-12-01 18:14,60,58,93.1,140,7,0,29.92,null,5,null,OVC,null,null,null,700,null,null,null,BR,null,null,null,null,null,null,60,KHSV 011814Z 14007KT 5SM BR OVC007 16/14 A2992 RMK AO2 T01560144 $,null
HSV,2023-12-01 18:53,60,58,93.1,140,5,0,29.91,1012.5,5,null,OVC,null,null,null,700,null,null,null,BR,null,null,null,null,null,null,60,KHSV 011853Z 14005KT 5SM BR OVC007 16/14 A2991 RMK AO2 SLP125 T01560144 $,null
HSV,2023-12-01 19:22,60,58,93.1,150,7,0,29.9,null,2,null,OVC,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,60,KHSV 011922Z 15007KT 2SM BR OVC005 16/14 A2990 RMK AO2 SFC VIS 3 T01560144 $,null
HSV,2023-12-01 19:53,60,59,96.49,150,7,T,29.9,1012.3,2,null,OVC,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,60,KHSV 011953Z COR 15007KT 2SM BR OVC005 16/15 A2990 RMK AO2 SFC VIS 4 SLP123 P0000 T01560150 $,null
HSV,2023-12-01 20:17,60,59,96.49,150,8,0,29.9,null,2,null,OVC,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,60,KHSV 012017Z 15008KT 2SM BR OVC005 16/15 A2990 RMK AO2 SFC VIS 4 T01560150 $,null
HSV,2023-12-01 20:53,60,59,96.49,160,8,0,29.92,1012.8,2,null,OVC,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,60,KHSV 012053Z 16008KT 2SM BR OVC005 16/15 A2992 RMK AO2 SFC VIS 3 SLP128 T01560150 $,null
HSV,2023-12-01 21:07,61,59,93.12,160,8,0,29.91,null,2,null,OVC,null,null,null,400,null,null,null,BR,null,null,null,null,null,null,61,KHSV 012107Z 16008KT 2SM BR OVC004 16/15 A2991 RMK AO2 T01610150 $,null
HSV,2023-12-01 21:14,61,60,96.51,160,7,0,29.92,null,1,null,OVC,null,null,null,400,null,null,null,BR,null,null,null,null,null,null,61,KHSV 012114Z 16007KT 1SM R18R/P6000FT BR OVC004 16/16 A2992 RMK AO2 SFC VIS 2 T01610156 $,null
HSV,2023-12-01 21:53,61,60,96.51,160,7,0,29.93,1013.3,1,null,OVC,null,null,null,400,null,null,null,BR,null,null,null,null,null,null,61,KHSV 012153Z 16007KT 1SM R18R/P6000FT BR OVC004 16/16 A2993 RMK AO2 SFC VIS 3 SLP133 T01610156 $,null
HSV,2023-12-01 22:43,61,60,96.51,150,5,0,29.95,null,2.5,null,OVC,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,61,KHSV 012243Z 15005KT 2 1/2SM BR OVC005 16/16 A2995 RMK AO2 SFC VIS 3 T01610156 $,null
HSV,2023-12-01 22:53,61,60,96.51,160,4,0,29.96,1014.2,2.5,null,OVC,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,61,KHSV 012253Z 16004KT 2 1/2SM BR OVC005 16/16 A2996 RMK AO2 SFC VIS 4 SLP142 T01610156 $,null
HSV,2023-12-01 23:22,61,60,96.51,150,6,0,29.96,null,4,null,OVC,null,null,null,600,null,null,null,BR,null,null,null,null,null,null,61,KHSV 012322Z 15006KT 4SM BR OVC006 16/16 A2996 RMK AO2 T01610156 $,null
HSV,2023-12-01 23:53,61,60,96.51,160,5,0,29.96,1014.3,5,null,OVC,null,null,null,900,null,null,null,BR,null,null,null,null,null,null,61,KHSV 012353Z 16005KT 5SM BR OVC009 16/16 A2996 RMK AO2 CIG 007V014 SLP143 T01610156 10161 20156 51015 $,null
HSV,2023-12-02 0:16,61,60,96.51,140,3,0,29.97,null,5,null,BKN,OVC,null,null,1000,1300,null,null,BR,null,null,null,null,null,null,61,KHSV 020016Z 14003KT 5SM BR BKN010 OVC013 16/16 A2997 RMK AO2 CIG 006V011 T01610156 $,null
HSV,2023-12-02 0:23,61,60,96.51,150,5,0,29.98,null,5,null,BKN,OVC,null,null,800,2100,null,null,BR,null,null,null,null,null,null,61,KHSV 020023Z 15005KT 5SM BR BKN008 OVC021 16/16 A2998 RMK AO2 CIG 006V011 T01610156 $,null
HSV,2023-12-02 0:53,60,59,96.49,150,5,0,29.98,1015,4,null,SCT,BKN,BKN,null,1000,1500,2200,null,BR,null,null,null,null,null,null,60,KHSV 020053Z 15005KT 4SM BR SCT010 BKN015 BKN022 16/15 A2998 RMK AO2 SLP150 T01560150 $,null
HSV,2023-12-02 1:08,60,59,96.49,120,5,0,29.98,null,2.5,null,FEW,FEW,BKN,null,1000,1500,2200,null,BR,null,null,null,null,null,null,60,KHSV 020108Z 12005KT 2 1/2SM BR FEW010 FEW015 BKN022 16/15 A2998 RMK AO2 T01560150 $,null
HSV,2023-12-02 1:18,59,58,96.48,120,4,0,29.98,null,1,null,FEW,BKN,null,null,1300,2200,null,null,BR,null,null,null,null,null,null,59,KHSV 020118Z 12004KT 1SM R18R/P6000FT BR FEW013 BKN022 15/14 A2998 RMK AO2 T01500144 $,null
HSV,2023-12-02 1:36,59,58,96.48,120,5,0,29.98,null,2.5,null,FEW,BKN,null,null,1300,2200,null,null,BR,null,null,null,null,null,null,59,KHSV 020136Z 12005KT 2 1/2SM BR FEW013 BKN022 15/14 A2998 RMK AO2 T01500144 $,null
HSV,2023-12-02 1:48,57.2,57.2,100,110,6,0,29.98,null,1,null,BKN,null,null,null,2200,null,null,null,BR,null,null,null,null,null,null,57.2,KHSV 020148Z 11006KT 1SM R18R/P6000FT BR BKN022 14/14 A2998 RMK AO2 $,null
HSV,2023-12-02 1:53,58,57,96.46,120,6,0,29.98,1015,1.25,null,BKN,null,null,null,2300,null,null,null,BR,null,null,null,null,null,null,58,KHSV 020153Z 12006KT 1 1/4SM BR BKN023 14/14 A2998 RMK AO2 SLP150 T01440139 $,null
HSV,2023-12-02 2:13,58,57,96.46,110,7,0,29.99,null,0.5,null,BKN,BKN,OVC,null,1200,2300,13000,null,FG,null,null,null,null,null,null,58,KHSV 020213Z 11007KT 1/2SM R18R/P6000FT FG BKN012 BKN023 OVC130 14/14 A2999 RMK AO2 TWR VIS 2 T01440139 $,null
HSV,2023-12-02 2:36,57,56,96.45,110,6,0,29.99,null,0.25,null,SCT,OVC,null,null,0,1200,null,null,FG,null,null,null,null,null,null,57,KHSV 020236Z 11006KT 1/4SM R18R/P6000FT FG SCT000 OVC012 14/13 A2999 RMK AO2 TWR VIS 2 FG SCT000 T01390133 $,null
HSV,2023-12-02 2:53,57,56,96.45,90,4,0,29.99,1015.3,0.25,null,SCT,OVC,null,null,0,900,null,null,FG,null,null,null,null,null,null,57,KHSV 020253Z 09004KT 1/4SM R18R/4500VP6000FT FG SCT000 OVC009 14/13 A2999 RMK AO2 TWR VIS 2 SLP153 FG SCT000 T01390133 51004 $,null
HSV,2023-12-02 3:35,57,56,96.45,90,4,0,29.99,null,0.25,null,VV ,null,null,null,400,null,null,null,FG,null,null,null,null,null,null,57,KHSV 020335Z 09004KT 1/4SM R18R/2800V4500FT FG VV004 14/13 A2999 RMK AO2 TWR VIS 4 T01390133 $,null
HSV,2023-12-02 3:53,56,55,96.43,90,4,0,29.98,1015.1,0.25,null,VV ,null,null,null,400,null,null,null,FG,null,null,null,null,null,null,56,KHSV 020353Z 09004KT 1/4SM R18R/2200V4500FT FG VV004 13/13 A2998 RMK AO2 TWR VIS 4 SLP151 T01330128 $,null
HSV,2023-12-02 4:00,56,55,96.43,100,6,0,29.98,null,0.25,null,VV ,null,null,null,600,null,null,null,FG,null,null,null,null,null,null,56,KHSV 020400Z 10006KT 1/4SM R18R/3500VP6000FT FG VV006 13/13 A2998 RMK AO2 TWR VIS 4 T01330128 $,null
HSV,2023-12-02 4:46,57,57,100,80,4,0,29.98,null,1,null,VV ,null,null,null,800,null,null,null,BR,null,null,null,null,null,null,57,KHSV 020446Z 08004KT 1SM R18R/4000VP6000FT BR VV008 14/14 A2998 RMK AO2 TWR VIS 4 T01390139 $,null
HSV,2023-12-02 4:53,57,57,100,90,4,0,29.98,1014.9,1,null,VV ,null,null,null,700,null,null,null,BR,null,null,null,null,null,null,57,KHSV 020453Z 09004KT 1SM R18R/3000VP6000FT BR VV007 14/14 A2998 RMK AO2 TWR VIS 4 SLP149 T01390139 $,null
HSV,2023-12-02 5:00,57,57,100,90,4,0,29.97,null,0.5,null,VV ,null,null,null,700,null,null,null,FG,null,null,null,null,null,null,57,KHSV 020500Z 09004KT 1/2SM R18R/3000V4500FT FG VV007 14/14 A2997 RMK AO2 TWR VIS 4 T01390139 $,null
HSV,2023-12-02 5:25,57,56,96.45,80,4,0,29.97,null,0.25,null,SCT,BKN,OVC,null,0,600,2100,null,FG,null,null,null,null,null,null,57,KHSV 020525Z 08004KT 1/4SM R18R/2800V4500FT FG SCT000 BKN006 OVC021 14/13 A2997 RMK AO2 TWR VIS 4 FG SCT000 T01390133 $,null
HSV,2023-12-02 5:53,57,57,100,90,5,0,29.98,1014.7,0.25,null,SCT,BKN,OVC,null,0,600,2100,null,FG,null,null,null,null,null,null,57,KHSV 020553Z 09005KT 1/4SM R18R/3500VP6000FT FG SCT000 BKN006 OVC021 14/14 A2998 RMK AO2 SLP147 FG SCT000 T01390139 10161 20128 401610083 56005 $,null
HSV,2023-12-02 6:00,58,58,100,80,4,0,29.98,null,0.75,null,OVC,OVC,null,null,900,900,null,null,BR,null,null,null,null,null,null,58,KHSV 020600Z COR 08004KT 3/4SM R18R/P6000FT BR OVC009 14/14 A2998 RMK AO2 T01440144 $,null
HSV,2023-12-02 6:28,59,59,100,90,4,0,29.97,null,2,null,OVC,null,null,null,800,null,null,null,BR,null,null,null,null,null,null,59,KHSV 020628Z AUTO 09004KT 2SM BR OVC008 15/15 A2997 RMK AO2 T01500150 $,null
HSV,2023-12-02 6:39,59,59,100,80,4,0,29.97,null,1.75,null,OVC,null,null,null,800,null,null,null,BR,null,null,null,null,null,null,59,KHSV 020639Z AUTO 08004KT 1 3/4SM BR OVC008 15/15 A2997 RMK AO2 T01500150 $,null
HSV,2023-12-02 6:50,60.8,59,93.79,80,4,0,29.98,null,2.5,null,OVC,null,null,null,800,null,null,null,BR,null,null,null,null,null,null,60.8,KHSV 020650Z AUTO 08004KT 2 1/2SM BR OVC008 16/15 A2998 RMK AO2 $,null
HSV,2023-12-02 6:53,60,59,96.49,80,4,0,29.98,1014.7,2.5,null,OVC,null,null,null,800,null,null,null,BR,null,null,null,null,null,null,60,KHSV 020653Z AUTO 08004KT 2 1/2SM BR OVC008 16/15 A2998 RMK AO2 SLP147 T01560150 $,null
HSV,2023-12-02 7:00,60,59,96.49,100,4,0,29.97,null,3,null,OVC,null,null,null,800,null,null,null,BR,null,null,null,null,null,null,60,KHSV 020700Z AUTO 10004KT 3SM BR OVC008 16/15 A2997 RMK AO2 T01560150 $,null
HSV,2023-12-02 7:08,60,59,96.49,90,4,0,29.97,null,2.5,null,OVC,null,null,null,800,null,null,null,BR,null,null,null,null,null,null,60,KHSV 020708Z AUTO 09004KT 2 1/2SM BR OVC008 16/15 A2997 RMK AO2 T01560150 $,null
HSV,2023-12-02 7:28,60,59,96.49,90,3,0,29.97,null,2.5,null,OVC,null,null,null,700,null,null,null,BR,null,null,null,null,null,null,60,KHSV 020728Z AUTO 09003KT 2 1/2SM BR OVC007 16/15 A2997 RMK AO2 T01560150 $,null
HSV,2023-12-02 7:53,60,60,100,120,4,0,29.97,1014.7,2.5,null,OVC,null,null,null,600,null,null,null,BR,null,null,null,null,null,null,60,KHSV 020753Z AUTO 12004KT 2 1/2SM BR OVC006 16/16 A2997 RMK AO2 SLP147 T01560156 $,null
HSV,2023-12-02 8:05,60,59,96.49,140,5,0,29.97,null,1.25,null,OVC,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,60,KHSV 020805Z AUTO 14005KT 1 1/4SM BR OVC005 16/15 A2997 RMK AO2 T01560150 $,null
HSV,2023-12-02 8:53,61,61,100,120,6,0,29.95,1013.8,1.75,null,OVC,null,null,null,600,null,null,null,BR,null,null,null,null,null,null,61,KHSV 020853Z AUTO 12006KT 1 3/4SM BR OVC006 16/16 A2995 RMK AO2 SLP138 T01610161 58009 $,null
HSV,2023-12-02 9:01,61,61,100,130,7,0,29.95,null,2.5,null,OVC,null,null,null,600,null,null,null,BR,null,null,null,null,null,null,61,KHSV 020901Z AUTO 13007KT 2 1/2SM BR OVC006 16/16 A2995 RMK AO2 T01610161 $,null
HSV,2023-12-02 9:37,62,61,96.52,0,0,T,29.96,null,1.75,null,OVC,null,null,null,400,null,null,null,#NAME?,null,null,null,null,null,null,62,KHSV 020937Z AUTO 00000KT 1 3/4SM -RA BR OVC004 17/16 A2996 RMK AO2 LTG DSNT NW RAB25 CIG 004V007 P0000 T01670161 $,null
HSV,2023-12-02 9:53,61,61,100,120,6,T,29.95,1013.9,1.75,null,BKN,BKN,OVC,null,400,4400,8000,null,#NAME?,null,null,null,null,null,null,61,KHSV 020953Z AUTO 12006KT 1 3/4SM -RA BR BKN004 BKN044 OVC080 16/16 A2995 RMK AO2 LTG DSNT SW AND NW RAB25 SLP139 P0000 T01610161 $,null
HSV,2023-12-02 10:00,61,61,100,130,6,0.01,29.95,null,1,null,BKN,BKN,OVC,null,600,4400,7000,null,#NAME?,null,null,null,null,null,null,61,KHSV 021000Z AUTO 13006KT 1SM R18R/P6000FT -RA BR BKN006 BKN044 OVC070 16/16 A2995 RMK AO2 LTG DSNT SW AND NW P0001 T01610161 $,null
HSV,2023-12-02 10:08,62,61,96.52,150,8,0.02,29.94,null,2,null,SCT,BKN,OVC,null,800,2800,9500,null,#NAME?,null,null,null,null,null,null,62,KHSV 021008Z AUTO 15008KT 2SM -RA BR SCT008 BKN028 OVC095 17/16 A2994 RMK AO2 LTG DSNT S-NW P0002 T01670161 $,null
HSV,2023-12-02 10:15,62,61,96.52,150,7,0.02,29.95,null,3,null,FEW,SCT,OVC,null,800,6500,9000,null,#NAME?,null,null,null,null,null,null,62,KHSV 021015Z AUTO 15007KT 3SM -RA BR FEW008 SCT065 OVC090 17/16 A2995 RMK AO2 LTG DSNT S-NW P0002 T01670161 $,null
HSV,2023-12-02 10:21,61,61,100,140,7,0.03,29.95,null,2.5,null,FEW,SCT,OVC,null,800,7000,9500,null,VCTS -RA BR,null,null,null,null,null,null,61,KHSV 021021Z AUTO 14007KT 2 1/2SM VCTS -RA BR FEW008 SCT070 OVC095 16/16 A2995 RMK AO2 LTG DSNT S-NW P0003 T01610161 $,null
HSV,2023-12-02 10:40,62,61,96.52,150,4,0.05,29.96,null,2,null,OVC,null,null,null,9500,null,null,null,RA BR,null,null,null,null,null,null,62,KHSV 021040Z AUTO 15004KT 2SM RA BR OVC095 17/16 A2996 RMK AO2 LTG DSNT S AND SW P0005 T01670161 $,null
HSV,2023-12-02 10:48,62.6,60.8,93.83,180,3,0.08,29.96,null,1.75,null,OVC,null,null,null,9000,null,null,null,RA BR,null,null,null,null,null,null,62.6,KHSV 021048Z AUTO 18003KT 1 3/4SM RA BR OVC090 17/16 A2996 RMK AO2 LTG DSNT SE-SW P0008 $,null
HSV,2023-12-02 10:53,62,61,96.52,0,0,0.09,29.96,1013.9,1.25,null,SCT,OVC,null,null,8000,9500,null,null,RA BR,null,null,null,null,null,null,62,KHSV 021053Z AUTO 00000KT 1 1/4SM RA BR SCT080 OVC095 17/16 A2996 RMK AO2 LTG DSNT SE AND S SLP139 P0009 T01670161 $,null
HSV,2023-12-02 11:00,61,60,96.51,0,0,0.01,29.96,null,0.5,null,FEW,SCT,OVC,null,500,2100,9000,null,RA FG,null,null,null,null,null,null,61,KHSV 021100Z AUTO 00000KT 1/2SM R18R/6000VP6000FT RA FG FEW005 SCT021 OVC090 16/16 A2996 RMK AO2 LTG DSNT SE AND S P0001 T01610156 $,null
HSV,2023-12-02 11:08,61,61,100,310,3,0.03,29.96,null,0.75,null,BKN,BKN,OVC,null,600,2000,8500,null,RA BR,null,null,null,null,null,null,61,KHSV 021108Z AUTO 31003KT 3/4SM R18R/4500VP6000FT RA BR BKN006 BKN020 OVC085 16/16 A2996 RMK AO2 LTG DSNT SE AND S P0003 T01610161 $,null
HSV,2023-12-02 11:18,61,61,100,350,3,0.05,29.97,null,0.5,null,FEW,BKN,OVC,null,500,1200,8000,null,VCTS RA FG,null,null,null,null,null,null,61,KHSV 021118Z AUTO 35003KT 1/2SM R18R/3500VP6000FT VCTS RA FG FEW005 BKN012 OVC080 16/16 A2997 RMK AO2 LTG DSNT SE P0005 T01610161 $,null
HSV,2023-12-02 11:33,62,61,96.52,0,0,0.09,29.97,null,0.75,null,FEW,SCT,OVC,null,500,1300,8500,null,RA BR,null,null,null,null,null,null,62,KHSV 021133Z AUTO 00000KT 3/4SM R18R/2800VP6000FT RA BR FEW005 SCT013 OVC085 17/16 A2997 RMK AO2 LTG DSNT SE P0009 T01670161 $,null
HSV,2023-12-02 11:53,61,61,100,150,3,0.14,29.97,1014.5,0.5,null,OVC,null,null,null,8500,null,null,null,RA FG,null,null,null,null,null,null,61,KHSV 021153Z 15003KT 1/2SM R18R/3000VP6000FT RA FG OVC085 16/16 A2997 RMK AO2 SLP145 P0014 60023 7//// T01610161 10167 20139 53006 $,null
HSV,2023-12-02 12:11,61,61,100,100,7,0.04,29.95,null,0.5,null,FEW,BKN,OVC,null,600,6000,8500,null,RA FG,null,null,null,null,null,null,61,KHSV 021211Z 10007KT 1/2SM R18R/P6000FT RA FG FEW006 BKN060 OVC085 16/16 A2995 RMK AO2 P0004 T01610161 $,null
HSV,2023-12-02 12:53,61,60,96.51,0,0,0.08,29.97,1014.4,0.5,null,FEW,BKN,OVC,null,3200,6500,8000,null,#NAME?,null,null,null,null,null,null,61,KHSV 021253Z 00000KT 1/2SM R18R/1800V2000FT -RA FG FEW032 BKN065 OVC080 16/16 A2997 RMK AO2 SLP144 P0008 T01610156 $,null
HSV,2023-12-02 13:02,60,60,100,60,4,T,29.97,null,0.25,null,SCT,SCT,OVC,null,4200,5500,7000,null,#NAME?,null,null,null,null,null,null,60,KHSV 021302Z 06004KT 1/4SM R18R/1800VP6000FT -RA FG SCT042 SCT055 OVC070 16/16 A2997 RMK AO2 P0000 T01560156 $,null
HSV,2023-12-02 13:53,61,61,100,90,5,0.02,29.97,1014.5,0.25,null,FEW,BKN,OVC,null,3200,4100,5500,null,#NAME?,null,null,null,null,null,null,61,KHSV 021353Z 09005KT 1/4SM R18R/2400VP6000FT -DZ FG FEW032 BKN041 OVC055 16/16 A2997 RMK AO2 RAE52DZB52 SLP145 P0002 T01610161 $,null
HSV,2023-12-02 14:02,62,62,100,90,4,T,29.97,null,2,null,FEW,SCT,OVC,null,3200,4100,6000,null,BR,null,null,null,null,null,null,62,KHSV 021402Z 09004KT 2SM BR FEW032 SCT041 OVC060 17/17 A2997 RMK AO2 DZE02 P0000 T01670167 $,null
HSV,2023-12-02 14:13,62,62,100,100,3,0.01,29.97,null,5,null,FEW,OVC,null,null,3900,6000,null,null,BR,null,null,null,null,null,null,62,KHSV 021413Z 10003KT 5SM BR FEW039 OVC060 17/17 A2997 RMK AO2 DZE02 P0001 T01670167 $,null
HSV,2023-12-02 14:38,63,63,100,110,4,0.01,29.96,null,8,null,FEW,SCT,OVC,null,200,4000,7000,null,null,null,null,null,null,null,null,63,KHSV 021438Z 11004KT 8SM FEW002 SCT040 OVC070 17/17 A2996 RMK AO2 DZE02 P0001 T01720172 $,null
HSV,2023-12-02 14:53,63,62,96.54,80,8,0.01,29.96,1014,2.5,null,SCT,SCT,OVC,null,200,3500,7000,null,null,null,null,null,null,null,null,63,KHSV 021453Z 08008KT 2 1/2SM SCT002 SCT035 OVC070 17/17 A2996 RMK AO2 SFC VIS 8 DZE02 SLP140 P0001 60011 T01720167 58005 $,null
HSV,2023-12-02 15:12,63,63,100,170,4,T,29.97,null,1.75,null,FEW,BKN,OVC,null,300,2800,3400,null,#NAME?,null,null,null,null,null,null,63,KHSV 021512Z 17004KT 1 3/4SM R18R/4000VP6000FT +RA BR FEW003 BKN028 OVC034 17/17 A2997 RMK AO2 TWR VIS 2 1/2 RAB1455 P0000 T01720172 $,null
